Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0805_2012Metric",21.986000,18.180600,180.000000,bottom
"C2","100uF,35V","C_1206_3216Metric",40.811000,18.189000,180.000000,bottom
"C3","22uF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",49.986000,-8.436000,180.000000,bottom
"C4","1uF","C_0805_2012Metric",44.486000,17.589000,90.000000,bottom
"C5","22uF","C_1206_3216Metric",35.873000,18.214000,180.000000,bottom
"C6","100nF","C_0805_2012Metric",38.379000,4.966000,0.000000,bottom
"C7","100nF","C_0805_2012Metric",25.907000,18.180600,0.000000,bottom
"C8","100nF","C_0805_2012Metric",15.128000,13.888000,270.000000,bottom
"C9","100nF","C_0805_2012Metric",29.313000,6.849000,90.000000,bottom
"C10","22pF","C_0805_2012Metric",29.910800,17.647200,270.000000,bottom
"C11","22pF","C_0805_2012Metric",31.993600,17.672600,270.000000,bottom
"C12","1uF","C_0805_2012Metric",29.987000,11.271800,90.000000,bottom
"C13","100nF","C_0805_2012Metric",3.736000,6.814000,180.000000,bottom
"C14","1uF","C_0805_2012Metric",10.486000,-2.248500,270.000000,bottom
"C15","2.2uF","C_0805_2012Metric",37.353000,-0.590000,90.000000,bottom
"C16","1uF","C_0805_2012Metric",10.486000,-6.373500,270.000000,bottom
"C17","2.2uF","C_0805_2012Metric",37.302200,-4.841200,270.000000,bottom
"G***","LOGO","GaudiLabs_8",48.186000,4.114000,180.000000,bottom
"J2","Conn_02x05_Odd_Even","Pin_Header_Straight_2x05_Pitch1.27mm_SMD",5.222000,14.605000,270.000000,bottom
"J3","USB_C_Receptacle","USB_C_Receptacle_Amphenol_12401610E4-2A",63.433000,4.099000,270.000000,bottom
"LED1","LED","LED-0805",49.543000,17.283980,270.000000,bottom
"LED2","LED","LED-0805",46.813000,17.283980,270.000000,bottom
"Q1","Q_NMOS_GSD","SOT-23",0.736000,-0.686000,180.000000,bottom
"Q2","Q_NMOS_GSD","SOT-23",5.542800,-0.686000,0.000000,bottom
"Q3","Q_NMOS_GSD","SOT-23",0.751600,3.863000,0.000000,bottom
"R1","10k","R_0805_2012Metric",18.242000,18.206000,180.000000,bottom
"R2","390","R_0805_2012Metric",50.180000,13.888000,0.000000,bottom
"R3","390","R_0805_2012Metric",46.243000,13.899000,0.000000,bottom
"R4","4.7k","R_0805_2012Metric",2.729000,8.940000,180.000000,bottom
"R5","390k","R_0805_2012Metric",6.875000,8.921000,180.000000,bottom
"R6","4.7k","R_0805_2012Metric",10.986000,9.501500,90.000000,bottom
"R7","390k","R_0805_2012Metric",34.609800,-4.866600,270.000000,bottom
"R9","5k","R_0805_2012Metric",61.737000,11.475000,180.000000,bottom
"R10","5k","R_0805_2012Metric",58.374000,11.475000,0.000000,bottom
"U1","TLV1117-33","SOT-223",37.793000,12.037000,0.000000,bottom
"U2","SAMD21G18B-A   changed from SAML21","TQFP-48_7x7mm_Pitch0.5mm",22.413000,11.253000,180.000000,bottom
"X9","PAD","Fiducial_1mm_Dia_2.54mm_Outer_CopperBottom",7.736000,4.064000,0.000000,bottom
"X10","PAD","Fiducial_1mm_Dia_2.54mm_Outer_CopperBottom",65.736000,-9.436000,0.000000,bottom
"X11","PAD","Fiducial_1mm_Dia_2.54mm_Outer_CopperBottom",65.736000,17.564000,0.000000,bottom
"Y1","32.765","Crystal_SMD_3215-2pin_3.2x1.5mm",30.980000,14.497600,180.000000,bottom
